Date,Open,High,Low,Close,Volume,Market Cap
"Dec 21, 2015",442.84,444.73,427.31,438.64,77639700,663628e4
"Dec 20, 2015",462.23,462.64,434.34,442.69,75409400,692503e4
"Dec 19, 2015",463.55,465.58,456.76,462.32,47892700,694295e4
"Dec 18, 2015",455.85,465.18,454.94,463.62,60220100,682564e4
"Dec 17, 2015",454.78,457.86,448.86,456.08,47978400,680785e4
"Dec 16, 2015",465.21,465.21,443.85,454.93,107944e3,696209e4
"Dec 15, 2015",443.88,465.32,443.88,465.32,83121100,664085e4
"Dec 14, 2015",433.27,447.14,430.46,444.18,130496e3,648007e4
"Dec 13, 2015",431.66,441.68,426.27,433.75,55050600,645443e4
"Dec 12, 2015",452.33,469.1,410.74,435,131969e3,676173e4
"Dec 11, 2015",415.28,451.94,415.28,451.94,110944e3,620615e4
"Dec 10, 2015",417.99,419.51,411.55,415.48,52138900,624436e4
"Dec 09, 2015",414.44,423.12,406.29,417.56,90917200,618962e4
"Dec 08, 2015",395.75,415.56,389.95,415.56,57801400,590881e4
"Dec 07, 2015",389.98,399.97,385.41,395.54,63455800,582114e4
"Dec 06, 2015",389.56,402.81,387.09,388.78,77762e3,581329e4
"Dec 05, 2015",363.72,389.79,363.23,388.95,66282200,542618e4
"Dec 04, 2015",361.26,363.52,355.76,363.18,35784100,538811e4
"Dec 03, 2015",359.33,370.27,357.41,361.05,50714900,535804e4
"Dec 02, 2015",361.85,362.23,349.46,359.19,54160500,539407e4
"Dec 01, 2015",377.41,378.93,356.56,362.49,60452200,562458e4
"Nov 30, 2015",371.44,382.36,370.38,377.32,71701600,5534e6
"Nov 29, 2015",357.47,371.94,355.67,371.29,40409300,532461e4
"Nov 28, 2015",357.14,359.54,352.17,357.38,36816600,53183e5
"Nov 27, 2015",351.86,363.59,347.87,358.04,55179100,52385e5
"Nov 26, 2015",328.3,366.76,328.23,352.68,106105e3,488633e4
"Nov 25, 2015",320.05,329.13,316.77,328.21,41666900,476223e4
"Nov 24, 2015",323.01,323.06,318.12,320.05,29362600,480516e4
"Nov 23, 2015",324.35,325.12,321.29,323.05,27478900,48237e5
"Nov 22, 2015",326.98,327.01,321.26,324.54,23439400,486134e4
"Nov 21, 2015",322.09,328.16,319.6,326.93,28200500,478734e4
"Nov 20, 2015",326.41,326.47,312.22,322.02,53152900,485017e4
"Nov 19, 2015",334.68,335.33,325.27,326.15,45011100,497188e4
"Nov 18, 2015",334.59,336.53,330.64,334.59,43783800,496933e4
"Nov 17, 2015",330.36,338.35,329.61,335.09,51001600,490526e4
"Nov 16, 2015",319.74,331.63,315.9,330.75,47980100,474607e4
"Nov 15, 2015",333.05,334.66,317.49,320.17,44213100,494242e4
"Nov 14, 2015",336.62,338.18,329.97,332.91,38612e3,499425e4
"Nov 13, 2015",338.5,340.91,326.07,336.75,52003e3,50207e5
"Nov 12, 2015",314.08,345.08,313.36,338.15,78477800,465724e4
"Nov 11, 2015",339.82,340.58,301,311.08,10707e4,503751e4
"Nov 10, 2015",379.98,381.39,329.11,336.82,95797900,563152e4
"Nov 09, 2015",374.32,385.28,362.89,380.26,68224400,554624e4
"Nov 08, 2015",384.28,389.89,368.7,373.37,51817600,569239e4
"Nov 07, 2015",374.27,390.59,372.43,386.48,56625100,554268e4
"Nov 06, 2015",388.05,395.84,354.02,374.47,122687e3,574532e4
"Nov 05, 2015",408.08,447.56,374.58,386.35,151825e3,604041e4
"Nov 04, 2015",403.66,495.56,380.55,411.56,2639e5,597351e4
"Nov 03, 2015",361.87,417.9,357.65,403.42,206162e3,535368e4
"Nov 02, 2015",325.94,365.36,323.21,361.19,101918e3,482085e4
"Nov 01, 2015",315,327.47,311.88,325.43,37001100,465789e4
"Oct 31, 2015",328.51,332.78,309.25,314.17,48598100,485641e4
"Oct 30, 2015",313.94,334.17,313.94,328.01,78305e3,463969e4
"Oct 29, 2015",304.32,318.17,301.82,313.86,64495900,449639e4
"Oct 28, 2015",293.7,306.33,293.7,304.62,50808100,433843e4
"Oct 27, 2015",285.18,296.21,285.01,293.79,46331800,42115e5
"Oct 26, 2015",283.63,285.3,280.51,285.3,32108800,418741e4
"Oct 25, 2015",281.44,294.06,281.44,283.68,45717100,41541e5
"Oct 24, 2015",276.5,281.71,276.5,281.65,25942400,408014e4
"Oct 23, 2015",273.65,278.68,273.54,276.5,29442500,403701e4
"Oct 22, 2015",266.5,276.51,266.13,274.02,37808600,39305e5
"Oct 21, 2015",269.31,270.77,263.84,266.27,25637300,397098e4
"Oct 20, 2015",263.57,270.83,263.23,269.46,30889800,388557e4
"Oct 19, 2015",261.86,264.82,260.95,263.44,25258800,385927e4
"Oct 18, 2015",270.91,271.67,260.78,261.64,22434300,399162e4
"Oct 17, 2015",262.75,273.58,262.37,270.64,43199600,387049e4
"Oct 16, 2015",254.3,266.13,253.93,262.87,35901500,374509e4
"Oct 15, 2015",252.11,255.96,252.05,254.32,25223500,37118e5
"Oct 14, 2015",249.49,254.28,248.9,251.99,27462600,367237e4
"Oct 13, 2015",245.2,250.24,243.76,249.51,28198500,360834e4
"Oct 12, 2015",246.88,247.45,245.18,245.31,17388300,363211e4
"Oct 11, 2015",244.74,247.24,244.15,247.05,16827300,359984e4
"Oct 10, 2015",243.74,245.32,243.07,244.94,15912700,358412e4
"Oct 09, 2015",242.5,244.23,242.12,243.93,17353100,356509e4
"Oct 08, 2015",243.07,244.25,242.18,242.3,18515300,357273e4
"Oct 07, 2015",246.17,246.68,242.59,242.97,22999200,36174e5
"Oct 06, 2015",240.36,246.94,240.14,246.06,27535100,353123e4
"Oct 05, 2015",238.15,240.38,237.03,240.38,23335900,349774e4
"Oct 04, 2015",238.53,238.97,237.94,238.26,12999e3,350246e4
"Oct 03, 2015",237.2,239.31,236.94,238.73,16482700,34821e5
"Oct 02, 2015",237.26,238.54,236.6,237.29,19677900,348219e4
"Oct 01, 2015",236,238.44,235.62,237.55,20488800,34628e5
"Sep 30, 2015",236.64,237.73,235.63,236.06,19743500,347128e4
"Sep 29, 2015",239.02,239.8,235.93,236.69,22691300,350509e4
"Sep 28, 2015",232.84,239.34,232.47,239.14,24713e3,341363e4
"Sep 27, 2015",234.14,234.53,232.48,232.76,14179900,343186e4
"Sep 26, 2015",235.08,235.4,233.36,234.34,13724100,344473e4
